Period,Accounts,Category,Note,USD,Income/Expense
2024-03-11,Checking,Entertainment,Transaction 1,263.39,Expense
2022-10-23,Savings,Stock,Transaction 2,464.90,Income
2023-01-10,Cash,Misc,Transaction 3,482.95,Expense
2025-01-30,Savings,Entertainment,Transaction 4,170.92,Expense
2020-01-09,Credit Card,Bonus,Transaction 5,878.62,Income
2020-03-03,Cash,Food,Transaction 6,51.67,Expense
2021-04-05,Checking,Transport,Transaction 7,386.92,Expense
2021-10-24,Checking,Entertainment,Transaction 8,369.69,Expense
2025-06-24,Credit Card,Misc,Transaction 9,475.48,Expense
2022-06-07,Savings,Stock,Transaction 10,677.43,Income
2021-02-14,Checking,Entertainment,Transaction 11,521.96,Expense
2020-04-06,Cash,Stock,Transaction 12,423.95,Income
2025-04-28,Cash,Sales,Transaction 13,423.44,Income
2021-04-02,Savings,Transport,Transaction 14,448.95,Expense
2022-04-27,Checking,Bonus,Transaction 15,449.83,Income
2021-04-22,Checking,Entertainment,Transaction 16,401.04,Expense
2020-12-05,Checking,Sales,Transaction 17,713.23,Income
2022-01-05,Savings,Transport,Transaction 18,850.33,Expense
2025-04-06,Cash,Transport,Transaction 19,669.97,Expense
2021-11-14,Credit Card,Misc,Transaction 20,321.84,Expense
2025-03-11,Credit Card,Utilities,Transaction 21,551.91,Expense
2025-02-16,Checking,Food,Transaction 22,231.35,Expense
2021-11-08,Checking,Food,Transaction 23,369.34,Expense
2021-12-10,Savings,Utilities,Transaction 24,693.34,Expense
2024-05-15,Savings,Transport,Transaction 25,502.25,Expense
2024-10-24,Cash,Misc,Transaction 26,582.20,Expense
2024-09-18,Cash,Sales,Transaction 27,903.62,Income
2020-04-12,Credit Card,Misc,Transaction 28,375.56,Expense
2022-11-10,Checking,Bonus,Transaction 29,639.81,Income
2022-12-01,Cash,Bonus,Transaction 30,146.91,Income
2022-09-30,Checking,Utilities,Transaction 31,61.53,Expense
2021-11-24,Checking,Transport,Transaction 32,858.87,Expense
2021-06-20,Savings,Utilities,Transaction 33,289.90,Expense
2022-09-19,Checking,Transport,Transaction 34,24.46,Expense
2020-11-04,Savings,Sales,Transaction 35,393.76,Income
2024-07-15,Cash,Misc,Transaction 36,406.68,Expense
2021-11-19,Checking,Bonus,Transaction 37,884.85,Income
2025-03-27,Credit Card,Sales,Transaction 38,258.94,Income
2020-09-01,Checking,Salary,Transaction 39,557.81,Income
2020-09-01,Savings,Misc,Transaction 40,890.47,Expense
2024-03-12,Checking,Sales,Transaction 41,309.34,Income
2024-03-10,Checking,Bonus,Transaction 42,756.47,Income
2022-01-31,Savings,Bonus,Transaction 43,836.69,Income
2023-05-15,Cash,Bonus,Transaction 44,1.42,Income
2020-03-11,Savings,Stock,Transaction 45,778.38,Income
2025-04-18,Cash,Transport,Transaction 46,756.04,Expense
2020-08-02,Credit Card,Salary,Transaction 47,248.11,Income
2021-02-11,Checking,Salary,Transaction 48,949.23,Income
2020-03-06,Credit Card,Transport,Transaction 49,113.59,Expense
2021-06-12,Savings,Food,Transaction 50,760.72,Expense
2021-12-17,Savings,Food,Transaction 51,962.29,Expense
2024-04-05,Checking,Entertainment,Transaction 52,320.63,Expense
2020-10-30,Cash,Utilities,Transaction 53,679.69,Expense
2023-11-10,Checking,Transport,Transaction 54,741.08,Expense
2021-12-12,Credit Card,Food,Transaction 55,368.80,Expense
2022-02-03,Cash,Transport,Transaction 56,259.10,Expense
2022-10-05,Checking,Salary,Transaction 57,868.23,Income
2025-03-19,Cash,Transport,Transaction 58,499.20,Expense
2024-11-12,Savings,Salary,Transaction 59,553.81,Income
2023-10-06,Checking,Salary,Transaction 60,723.17,Income
2020-10-21,Cash,Entertainment,Transaction 61,344.45,Expense
2022-03-24,Credit Card,Entertainment,Transaction 62,62.66,Expense
2025-06-26,Checking,Transport,Transaction 63,10.17,Expense
2025-02-03,Checking,Sales,Transaction 64,193.68,Income
2023-06-17,Checking,Entertainment,Transaction 65,602.85,Expense
2022-12-30,Credit Card,Entertainment,Transaction 66,437.77,Expense
2021-12-31,Credit Card,Food,Transaction 67,619.63,Expense
2022-12-28,Credit Card,Entertainment,Transaction 68,926.54,Expense
2025-05-02,Cash,Entertainment,Transaction 69,119.42,Expense
2023-07-14,Checking,Entertainment,Transaction 70,507.42,Expense
2021-01-08,Checking,Stock,Transaction 71,695.82,Income
2023-10-03,Savings,Utilities,Transaction 72,827.12,Expense
2025-05-29,Checking,Entertainment,Transaction 73,533.41,Expense
2022-04-16,Credit Card,Food,Transaction 74,778.03,Expense
2020-06-14,Checking,Food,Transaction 75,973.23,Expense
2020-06-18,Savings,Misc,Transaction 76,599.86,Expense
2024-11-30,Checking,Food,Transaction 77,858.51,Expense
2020-07-06,Cash,Bonus,Transaction 78,3.82,Income
2022-08-19,Credit Card,Misc,Transaction 79,417.52,Expense
